epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8207.47,1.40376,0.80916,1.14156,0.87409,0.81842,0.89695,0.55901,1.26345,0.69889,1.0747,0.007921,0.007921,0.007921
44,8394.52,1.38356,0.79987,1.12523,0.86896,0.82266,0.90061,0.55317,1.27821,0.7025,1.0816,0.0078715,0.0078715,0.0078715
45,8576.32,1.38097,0.78362,1.12493,0.8949,0.80685,0.89558,0.55799,1.27934,0.70564,1.08541,0.007822,0.007822,0.007822
46,8764.18,1.38306,0.78442,1.12846,0.86725,0.81683,0.893,0.55271,1.27155,0.70454,1.08439,0.0077725,0.0077725,0.0077725
47,8949.43,1.36382,0.78578,1.12093,0.87467,0.82384,0.8987,0.55882,1.2825,0.68871,1.08617,0.007723,0.007723,0.007723
48,9136.02,1.37434,0.77814,1.12988,0.87131,0.83483,0.90238,0.55998,1.26138,0.68917,1.07343,0.0076735,0.0076735,0.0076735
49,9324.55,1.37472,0.78253,1.12654,0.86188,0.83748,0.90206,0.55544,1.28774,0.68555,1.08191,0.007624,0.007624,0.007624
50,9509.65,1.35571,0.77648,1.11211,0.86431,0.83288,0.90095,0.56195,1.28546,0.69425,1.08499,0.0075745,0.0075745,0.0075745
51,9697.28,1.37221,0.7849,1.12863,0.86545,0.82742,0.89543,0.55968,1.26049,0.69221,1.07587,0.007525,0.007525,0.007525
52,9882.7,1.36833,0.77244,1.11349,0.87239,0.82372,0.89995,0.55697,1.28043,0.69248,1.07953,0.0074755,0.0074755,0.0074755
53,10068.8,1.35552,0.77221,1.11741,0.86951,0.81578,0.8982,0.55796,1.27452,0.68142,1.07721,0.007426,0.007426,0.007426
54,10254.7,1.36255,0.7681,1.12226,0.87226,0.83144,0.89926,0.5621,1.26288,0.68528,1.07766,0.0073765,0.0073765,0.0073765
55,10440,1.35361,0.75789,1.11162,0.87741,0.82979,0.90268,0.56278,1.26306,0.67997,1.0705,0.007327,0.007327,0.007327
56,10625.7,1.34563,0.75007,1.10925,0.87504,0.82266,0.90087,0.56184,1.25959,0.68702,1.07115,0.0072775,0.0072775,0.0072775
57,10811.9,1.35551,0.75033,1.1159,0.85402,0.84436,0.89729,0.55683,1.28536,0.68727,1.08298,0.007228,0.007228,0.007228
58,10998,1.34473,0.75066,1.11403,0.88234,0.82969,0.90014,0.56273,1.26232,0.67083,1.07371,0.0071785,0.0071785,0.0071785
59,11183.4,1.3292,0.74614,1.10525,0.8783,0.82521,0.89977,0.56074,1.24468,0.67119,1.06648,0.007129,0.007129,0.007129
60,11368.2,1.3309,0.74946,1.10225,0.8729,0.82534,0.90135,0.5699,1.24139,0.67366,1.0616,0.0070795,0.0070795,0.0070795
61,11554.6,1.3206,0.72946,1.09293,0.87063,0.8216,0.89925,0.5652,1.24053,0.67372,1.06278,0.00703,0.00703,0.00703
62,11740.8,1.32785,0.73198,1.09621,0.86042,0.82636,0.89738,0.56591,1.24491,0.66025,1.061,0.0069805,0.0069805,0.0069805
63,11930.9,1.31704,0.72549,1.0887,0.87729,0.81751,0.90316,0.5637,1.23899,0.66833,1.0606,0.006931,0.006931,0.006931
64,12118.7,1.31556,0.72642,1.09665,0.87136,0.82477,0.90127,0.56765,1.25105,0.67767,1.06187,0.0068815,0.0068815,0.0068815
65,12306.8,1.31096,0.72768,1.09256,0.86939,0.83516,0.90145,0.5664,1.24966,0.6589,1.06988,0.006832,0.006832,0.006832
