epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
185,34686.1,1.01049,0.52409,0.97077,0.86215,0.85089,0.90222,0.58046,1.22014,0.61591,1.05269,0.000892,0.000892,0.000892
186,34874.8,1.00355,0.5156,0.96883,0.87098,0.84595,0.90243,0.58013,1.22168,0.61618,1.0533,0.0008425,0.0008425,0.0008425
187,35060.5,0.99905,0.5183,0.97154,0.87103,0.84736,0.90301,0.58006,1.22244,0.61788,1.05349,0.000793,0.000793,0.000793
188,35244.8,1.00288,0.51389,0.9704,0.87343,0.84595,0.90219,0.58036,1.22175,0.61836,1.05319,0.0007435,0.0007435,0.0007435
189,35429.6,0.9866,0.50947,0.96548,0.8777,0.84277,0.90201,0.58074,1.22209,0.61947,1.05298,0.000694,0.000694,0.000694
190,35614.6,0.99913,0.51247,0.97179,0.87392,0.84436,0.90152,0.58059,1.22218,0.61837,1.05243,0.0006445,0.0006445,0.0006445
191,35794.7,1.01742,0.48576,0.97447,0.8838,0.83483,0.90311,0.58051,1.2232,0.61661,1.05249,0.000595,0.000595,0.000595
192,35975.4,0.99139,0.47486,0.96134,0.88024,0.83907,0.90288,0.58077,1.2239,0.61793,1.05214,0.0005455,0.0005455,0.0005455
193,36152,0.98438,0.46974,0.96086,0.8788,0.83801,0.90217,0.58097,1.22328,0.61755,1.05232,0.000496,0.000496,0.000496
194,36344.6,0.9898,0.47299,0.9664,0.87826,0.83748,0.9019,0.58099,1.22509,0.61754,1.05275,0.0004465,0.0004465,0.0004465
195,36524.3,0.98314,0.46798,0.95647,0.87878,0.83695,0.90117,0.58101,1.22417,0.61749,1.05295,0.000397,0.000397,0.000397
196,36704.2,0.97831,0.4648,0.95416,0.87935,0.83727,0.90096,0.5812,1.22471,0.61704,1.05316,0.0003475,0.0003475,0.0003475
197,36883.6,0.97395,0.46242,0.95627,0.87894,0.83788,0.90163,0.58086,1.22508,0.61811,1.05311,0.000298,0.000298,0.000298
198,37063.4,0.97536,0.46049,0.9568,0.87974,0.83748,0.90181,0.58126,1.22527,0.618,1.05332,0.0002485,0.0002485,0.0002485
199,37242.9,0.95719,0.45542,0.94292,0.88031,0.83708,0.90137,0.58031,1.22626,0.6195,1.05349,0.000199,0.000199,0.000199
200,37422.9,0.96383,0.45504,0.95112,0.88092,0.83695,0.90125,0.581,1.22625,0.61947,1.05376,0.0001495,0.0001495,0.0001495
